 ;data;;;;;;;;;;
 ; ; ; ; ; ;procurators;;;;;
Exemplo;requestDateTime;updateDateTime;personalId;startDate;productsServicesType;type;cpfNumber;civilName;socialName;;
1;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';578-psd-71md6971kjh-2d414';1985-05-01';CONTA_DEPOSITO_A_VISTA;REPRESENTANTE_LEGAL;73677831148';Elza Milena Stefany Teixeira';NA;;
;;;;;CONTA_POUPANCA ;PROCURADOR;96846726756';Kamilly Stefany Sara Fernandes';NA;;
;;;;;INVESTIMENTO;;;; ;;
;;;;;INVESTIMENTO;;;; ;;
;;;;;OPERACAO_CREDITO;;;; ;;
;;;;;SEGURO;;;; ;;
;;;;;PREVIDENCIA;;;; ;;
;;;;;INVESTIMENTO;;;; ;;
;;;;;OPERACOES_CAMBIO;;;; ;;
;;;;;CONTA_SALARIO;;;; ;;
; ; ; ; ;CREDENCIAMENTO; ; ; ; ;;
 ;;;;;;;;; ;;
2;2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';139-psd-71md6971kjh-2d414';2000-08-20';CONTA_POUPANCA ;NÃO_POSSUI;NA;NA;NA;;
 ;;;;;; ; ; ; ;;
3;2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';479-psd-71md6971kjh-2d414';2000-05-20';CONTA_PAGAMENTO_PRE_PAGA;NÃO_POSSUI;NA;NA;NA;;
;;;;;INVESTIMENTO;; ; ; ;;
;;;;;OPERACAO_CREDITO;;;; ; ;
; ; ; ; ;OPERACOES_CAMBIO; ; ; ; ; ;
 ;;;;;;;;; ; ;
 ;;;;;;;;; ; ;
4;2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';342-psd-71md6971kjh-2d414';1990-08-25';CARTAO_CREDITO;NÃO_POSSUI;NA;NA;NA; ;
 ;;;;;;;;; ;;
5;2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';317-psd-71md6971kjh-2d414';1986-02-22';OPERACAO_CREDITO;REPRESENTANTE_LEGAL;17418143834';Cauê Mateus Benedito Rocha';NA;;
;;;;;CREDENCIAMENTO; ; ; ; ;;
; ; ; ; ; ; ; ; ; ;;
 ;;;;;;;;; ;;
6;2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';693-psd-71md6971kjh-2d414';1985-08-20';SEGURO;NÃO_POSSUI;NA;NA;NA;;
 ;;;;;; ; ; ; ;;
7;2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';575-psd-71md6971kjh-2d414';2000-07-20';PREVIDENCIA;NÃO_POSSUI;NA;NA;NA;;
 ;;;;;;;;; ;;
8;2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';579-psd-71md6971kjh-2d414';1985-05-02';INVESTIMENTO;NÃO_POSSUI;NA;NA;NA;;
 ;;;;;;;;; ;;
9;2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';546-psd-71md6971kjh-2d414';1980-08-25';OPERACOES_CAMBIO;NÃO_POSSUI;NA;NA;NA;;
 ;;;;;;;;; ;;
10;2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';658-psd-71md6971kjh-2d414';1985-07-22';CONTA_SALARIO;NÃO_POSSUI;NA;NA;NA;;
