Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/participant;participant;Conjunto de informações relativas ao participante do produto de open banking;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/participant/brand;brand;Nome da marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Organização
/data/participant/name;name;Nome do participante do Open Banking.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Organização A1
/data/participant/cnpjNumber;cnpjNumber;O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;;Obrigatório;\d{14}$;;1;1;"";Não permitido;string;13456789000112
/data/participant/urlComplementaryList;urlComplementaryList;"";Texto;1024;Opcional;^(https?:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$;;0;1;"";Não permitido;string;https://empresaa1.com/companies
/data/feeName;feeName;"Nome da tarifa cobrada sobre o serviço de credenciamento, para pessoa física/jurídica.
  1. Taxa de Desconto na Modalidade Crédito
  2. Taxa de Desconto na Modalidade Débito";Texto;38;Obrigatório;;"TAXA_DESCONTO_MODALIDADE_CREDITO 
TAXA_DESCONTO_MODALIDADE_DEBITO";1;1;"";Não permitido;string;TAXA_DESCONTO_MODALIDADE_CREDITO
/data/code;code;Sigla da Tarifa cobrada sobre o Serviço de Credenciamento informado.;Texto;11;Obrigatório;;"MDR_CREDITO 
MDR_DEBITO";1;1;"";Não permitido;string;MDR_CREDITO
/data/prices;prices;"";Lista;;Obrigatório;;;4;4;"";Não permitido;array;"[{""interval""=>""1_FAIXA"", ""value""=>""0.0203"", ""customerRate""=>""0.5000""}, {""interval""=>""2_FAIXA"", ""value""=>""0.0306"", ""customerRate""=>""0.1000""}, {""interval""=>""3_FAIXA"", ""value""=>""0.0343"", ""customerRate""=>""0.3000""}, {""interval""=>""4_FAIXA"", ""value""=>""0.2468"", ""customerRate""=>""0.1000""}]"
/data/prices/interval;interval;Identificação do intervalo a ser exibido.;Texto;7;Obrigatório;;"1_FAIXA 
2_FAIXA 
3_FAIXA 
4_FAIXA";1;1;"";Não permitido;string;1_FAIXA
/data/prices/value;value;Mediana referente a cada intervalo.;Texto;6;Obrigatório;^\d{1}\.\d{1,4}$;;1;1;"";Não permitido;string;0.0203
/data/prices/customerRate;customerRate;Percentual de cliente em cada intervalo.;Texto;6;Obrigatório;^\d{1}\.\d{1,4}$;;1;1;"";Não permitido;string;0.5000
/data/chargingTriggerInfo;chargingTriggerInfo;Recebimento através de transação de cartão.;Texto;200;Obrigatório;;;1;1;"";Não permitido;string;NA
/data/minimum;minimum;Valor mínimo;Texto;999999;Obrigatório;^\d{1}\.\d{1,4}$;;1;1;"";Não permitido;string;2.0
/data/maximum;maximum;Valor máximo;Texto;999999;Obrigatório;^\d{1}\.\d{1,4}$;;1;1;"";Não permitido;string;5.0
