Xpath;Nome ;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;;;;;;;
openBankingBrazil/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' utilizada está em definição pelos participantes.;Texto;30;Mandatório;\w*\W*;;1;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/name;name;Nome da Instituição, pertencente à Marca, responsável pela comercialização dos tipos de contas de pessoas físicas cosultadas. Ex. 'Empresa da Organização A' ;Texto;30;Mandatório;\w*\W*;;1;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/cnpjNumber;cnpjNumber;"O responsável pela comercialização das modalidades de Contas para Pessoas Físicas consultadas - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara.";Texto;14;Mandatório;^(\d{14})$;;1;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/type;type;"Tipos de contas ofertadas para pessoas Físicas, conforme Resolução 3.919 do Bacen. p.ex. 'conta de depósito à vista'.
Conta corrente - é o tipo mais comum. Nela, o dinheiro fica à sua disposição para ser sacado a qualquer momento. Essa conta não gera rendimentos para o depositante
Conta poupança - foi criada para estimular as pessoas a pouparem. O dinheiro que ficar na conta por trinta dias passa a gerar rendimentos, com isenção de imposto de renda para quem declara. Ou seja, o dinheiro “cresce” (rende) enquanto ficar guardado na conta. Cada depósito terá rendimentos de mês em mês, sempre no dia do mês em que o dinheiro tiver sido depositado
Conta de pagamento pré-paga: destinada à execução de transações de pagamento em moeda eletrônica realizadas com base em fundos denominados em reais previamente aportados";Texto;70;Mandatório;;"Conta de depósito à vista,
Conta de poupança, 
Conta de pagamento pré-paga";1;3;;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/fees/priorityServices/name;name;Nomes dos Serviços prioritários, segundo Resolução 3.919 do Bacen, para pessoa física. (Campo Livre). p.ex. 'Fornecimento de extrato de um período de conta de depósitos à vista e de poupança';Texto;50;Mandatório;\w*\W*;;23;23;;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/fees/priorityServices/code;code;Sigla de identificação do Serviço Prioritário, segundo Resolução 3.919 do Bacen. P. ex. 'EXTRATOmovimento(P)';Texto;40;Mandatório;;"CADASTRO
2ª via-CARTÃODEBITO
2ª via-CARTÃOPOUPANÇA
EXCLUSÃO CCF
SUSTAÇÃO/REVOGAÇÃO
FOLHACHEQUE
CHEQUEADMINISTRATIVO
CHEQUE VISADO
SAQUEpessoal
SAQUEterminal
SAQUEcorrespondente
DEPOSITOidentificado
EXTRATOmês(P)
EXTRATOmês(E)
EXTRATOmês(C)
EXTRATOmovimento(P)
EXTRATOmovimento(E)
EXTRATOmovimento(C)
MICROFILME
DOCpessoal
DOCeletrônico
DOCinternet
TEDpessoal
TEDeletrônico
TEDinternet
DOC/TEDagendado(P)
DOC/TEDagendado(E)
DOC/TEDagendado(I)
TRANSF.RECURSO(P)
TRANSF.RECURSO(E/I)
ORDEMPAGAMENTO";23;23;;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/fees/priorityServices/chargingTriggerInfo;chargingTriggerInfo;"Fatores geradores de cobrança que incidem sobre os serviços prioritários, segundo Resolução 3.919 do Bacen, para pessoa física. P. ex. 'Fornecimento de extrato com a movimentação de um período em guichê de caixa ou por outras formas de atendimento pessoal, tal como atendimento telefônico realizado por atendente.'
";Texto;2000;Mandatório;\w*\W*;;23;23;;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/fees/priorityServices/price/interval;interval;Faixas de valor referente a tarifa do serviço prioritário informado: mínimo, 1ª faixa de valores, 2ª faixa de valores, 3ª faixa de valores e 4ª faixa de valores;Texto;30;Mandatório;\W*;"mínimo'
'1ª faixa de valores'
'2ª faixa de valores'
'3ª faixa de valores'
'4ª faixa de valores'";4;4;Este campo deve estar obrigatoriamente preenchido, para cada umas das 23 ocorrências de tarifas de serviços prioritários;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/fees/priorityServices/price/value;value;"Valor médio da tarifa cobrada, relativa ao serviço prioritário, para o tipo de faixa informada. p.ex. 45.00
(representa um valor monetário. Ex: 1547368.92 (O valor ao lado, considerando que a moeda seja BRL, significa R$ 1.547.368,92). O único separador presente deverá ser o . (ponto) para casa decimal. Não deve haver separador de milhar)";Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;4;4;Este campo deve estar obrigatoriamente preenchido, para cada umas das 23 ocorrências de tarifas de serviços prioritários;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/fees/priorityServices/price/currency;currency;Moeda referente ao valor máximo da tarifa, segundo modelo ISO-4217. p. ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);4;4;Este campo deve estar obrigatoriamente preenchido, para cada umas das 23 ocorrências de tarifas de serviços prioritários;;;;;;;
