Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;Conjunto de informações do Título de Capitalização;Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/participantIdentification;participantIdentification;Conjunto de informações relativas ao participante do produto de open banking;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/participantIdentification/brand;brand;Nome da marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Organização
/data/participantIdentification/name;name;Nome do participante do Open Banking.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;Organização A1
/data/participantIdentification/cnpjNumber;cnpjNumber;O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;;Obrigatório;\d{14}$;;1;1;"";Não permitido;string;13456789000112
/data/participantIdentification/urlComplementaryList;urlComplementaryList;"";Texto;1024;Opcional;^(https?:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$;;0;1;"";Não permitido;string;https://empresaa1.com/companies
/data/insuranceCompanyIdentification;insuranceCompanyIdentification;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/insuranceCompanyIdentification/name;name;"Nome da Sociedade Seguradora.
p. ex. ‘Sociedade A'";Texto;80;Obrigatório;;;1;1;"";Não permitido;string;ACME cap da ACME seguros
/data/insuranceCompanyIdentification/cnpjNumber;cnpjNumber;Número completo do CNPJ da instituição. O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;14;Obrigatório;^\d{14}$;;1;1;"";Não permitido;string;50685362000135
/data/product;product;"";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/product/name;name;Nome comercial do produto, pelo qual é identificado nos canais de distribuição e atendimento da sociedade.;Texto;80;Obrigatório;;;1;1;"";Não permitido;string;ACMEcap
/data/product/code;code;Código único a ser definido pela sociedade.;Texto;100;Obrigatório;;;1;1;"";Não permitido;string;01234589_cap
