Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;
openBankingBrazil/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' utilizada está em definição pelos participantes.;Texto;30;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<brand>/companies/name;name;Nome da Instituição, pertencente à Marca, responsável pelas contas de pagamento pós-pagas (cartões de crédito) Ex. 'Empresa da Organização A' ;Texto;30;Mandatório;\w*\W*;;1;1;N/A;
openBankingBrazil/<brand>/companies/cnpjNumber;cnpjNumber;"Número completo do CNPJ da instituição responsável pelas contas de pagamento pós-pagas (cartões de crédito) para pessoas Físicas - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara.";Texto;14;Mandatório;^(\d{14})$;Números de 0 a 9.;1;1;N/A;
openBankingBrazil/<brand>/companies/personalCreditCards/name;name;"Denominação/Identificação do nome da conta.
P.ex. 'Cartão Universtiário Bem-Vindo'";Texto;50;Mandatório;\w*\W*;;1;N;;
openBankingBrazil/<brand>/companies/personalCreditCards/identification/productType;productType;"Categoria atribuída a um cartão de pagamento, sob uma certa denominação, que lhe agrega um conjunto de vantagens, diferenciando-o de acordo com o perfil do portador.
p.ex. 'Classic Nacional', 'Classic Internacional'
Essa categoria é definida pelo BACEN e está contida no documento de nome 'Elaboração e Remessa de Informações Relativas aos Cartões de Pagamento  Emissores'";Texto;100;Mandatório;\W*;"Classic Nacional
Classic Internacional
Gold
Platinum
Infinite
Electron
Standard Nacional
Standard Internacional";1;1;;
openBankingBrazil/<brand>/companies/personalCreditCards/identification/creditCardNetwork;creditCardNetwork;"Categoria de Bandeiras de Cartões de Crédito.
Bandeira é a detentora de todos os direitos e deveres da utilização da marca estampada no cartão, inclusive as bandeiras pertencentes aos emissores. p.ex. ""American Express"", ""Diners Club"".
Essas bandeiras estão definidas em documento do BACEN de nome ""Elaboração e Remessa de Informações Relativas aos Cartões de Pagamento  Emissores"".";Texto;100;Mandatório;\W*;"VISA 
MasterCard 
American Express 
Diners Club 
Hipercard 
Bandeira própria 
Cheque Eletrônico 
Elo 
Outras";1;1;;
openBankingBrazil/<brand>/companies/personalCreditCards/identification/additionalInfo;additionalInfo;Texto livre para especificar categoria de bandeira marcada como 'Outras';Texto;50;Opcional;\w*\W*;;0;1;Se no campo 'creditCardNetwork' vier selecionado o campo 'Outras' é mandatório que esteja preenchido o 'additonalInfo' com o nome da bandeira;
openBankingBrazil/<brand>/companies/personalCreditCards/rewardsProgram/hasRewardProgram;hasRewardProgram;"Indicador da existência de programa de fidelidade/recompensa associado à conta.
 Falso
 Verdadeiro";Booleano;;Mandatório;;"Falso
Verdadeiro";1;1;;
openBankingBrazil/<brand>/companies/personalCreditCards/rewardsProgram/rewardProgramInfo;rewardProgramInfo;Informações de Termos e condições do programa de fidelidade/recompensa. Pode ser informada a URL referente ao endereço onde constam as condições informadas.;Texto;2000;Opcional;;;0;1;"Caso o campo ""hasRewardProgram""  indique que há programa de recompensa (Verdadeiro), a informação de termos e condições deve ser preenchida";
openBankingBrazil/<brand>/companies/personalCreditCards/fees/priorityServices/code;code;"Sigla de identificação do serviço relacionado à Modalidade de Contas de Pagamento Pós-Pagas para pessoa física informada. P.ex. '1 ANUIDADENacional'
Estas siglas são previstas na resolução 3.919 do BACEN.";Texto;30;Mandatório;;"ANUIDADENacional
ANUIDADEInt .
2ª via-CARTÃOCRÉDITO
RETIRADA-País
RETIRADA-exterior
PAGAMENTOCONTAS
AVAL.EMERG.CRÉDITO";1;7;;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/priorityServices/price/interval;interval;Faixas para cobrança de valores de tarifas por serviço prioritário informado: 1ª Faixa de valores, 2ª faixa de valores, 3ª faixa de valores, 4ª faixa de valores;Texto;30;Mandatório;\W*;"1ª faixa de valores'
'2ª faixa de valores'
'3ª faixa de valores'
'4ª faixa de valores'";4;4;Este campo deve estar obrigatoriamente preenchido;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/priorityServices/price/value;value;"Valor médio da tarifa cobrada, relativa ao serviço prioritário, para o tipo de faixa informada. p.ex. 45.00
(representa um valor monetário. Ex: 1547368.92 (O valor ao lado, considerando que a moeda seja BRL, significa R$ 1.547.368,92). O único separador presente deverá ser o . (ponto) para casa decimal. Não deve haver separador de milhar)";Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;4;4;Este campo deve estar obrigatoriamente preenchido;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/priorityServices/price/currency;currency;Moeda referente ao valor da Tarifa, segundo modelo ISO-4217. p. ex. 'BRL' ;Texto;3;Mandatório;^([A-Z]{3})$;;4;4;Este campo deve estar obrigatoriamente preenchido;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/priorityServices/price/frequency;frequency;Frequência de clientes em cada faixa de valor. Representa uma porcentagem Ex: 0.15 (O valor ao lado representa 15%. O valor 1 representa 100%);Texto;7;Mandatório;(-?[1-9]?\d{1,2}){1}(\,\d{1,2}){1};;4;4;Este campo deve estar obrigatoriamente preenchido;
openBankingBrazil/<brand>/companies/personalCreditCards/fees/priorityServices/chargingUnit;chargingUnit;Unidade ou forma de cobrança. P.ex. 'Por depósito recebido';Texto;50;Mandatório;\w*\W*;;1;7;este campo sempre deverá estar preenchido;
