 ; ;brand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ; name;companies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ;;name;"cnpj
Number";personalCustomers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;
 ; ;;;;identification;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ;;;;"request
DateTime";"update
DateTime";documents;;;;otherDocuments;;;;;;nationality;;;;; ; ;filiation;;;; ; ; ; ;contacts;;;;;;;;;;;;;;;;;;;;
 ; ;;;;;; ; ; ; ; ; ;;;;;;otherNationality;;;; ; ;;;;; ; ; ; ;postalAddresses;;;;;;;;;;;;phones;;;;;;;emails;
 ; ;;;;;; ; ; ; ; ; ;;;;;;additionalInfo;complementaryDocuments;;; ; ;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"geographicCoordinates
Coordinates";; ; ; ; ; ; ; ; ; 
 ;Exemplo;;;;;;cpfNumber;passportNumber;"passport
Country";"passport
ExpirationDate";type;typeAdditionalInfo;number;"check
Digit";additionalInfo;"expiration
Date";;;type;number;"expiration
Date";civilName;socialName;type;additionalInfo;civilName;socialName;birthDate;"marital
StatusCode";"maritalStatus
AdditionalInfo";gender;isMain;address;additionalInfo;districtName;townName;"ibge
TownCode";"country
SubDivision";"post
Code";country;"country
Code";latitude;longitude;isMain;type;additionalInfo;"country
Calling
Code";"area
Code";number;"phone
Extension";isMain;email
 ;1; 'Organização A'; 'Empresa A' ;21128159000166';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';19238788758';;;;CNH;;5498162376;;;2025-03-19';true';; ; ; ;Luiz Castro Garcia;;PAI;;Luiz Gomes Garcia;;2001-03-20';SOLTEIRO;;MASCULINO;true';Rua Ormando Chisto, 395';;São Judas Tadeu';Vitória;3201506';ES';29700650';Brasil';BRA';-19.5498025';-40.6272813';true';FIXO;;55';27';29875132';;true';luiz.castro@emailja.com
 ; ;;;;;;;;;;RG;;21587567;9;SSP-SP;2022-02-01';;;;;;;;MAE;;Marcia Castro Garcia;;;;;;'false';Rua do Horizonte, 67';apto 36;Jacatu;Vitória;3201506';ES';297010050';Brasil';BRA';;;;;;;;;;'false';luizCKL@gesta.com.br
 ; ;;;;;;;;;;NIF;;258700190;;;;;;;;;;;;;;;;;;;'false';Rua do Asfalto;;São Judas Tadeu';Vitória;3201506';ES';29730000';Brasil';BRA';;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;2; 'Organização A1'; 'Empresa A1' ;30817625000101';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';96846726756';;;;RNE;;'26221246';8;SSP-SP;01/05/2024;false';USA';SOCIAL SECURITY NUMBER;423929299';2030-03-19';Carlos Souza Moraes;;MAE;;Lara Isis Analu';;1964-11-18';CASADO;;MASCULINO;true';Rua Doutor Pedro Celestino de Araújo,  796';Fundos';Jardim Blumenau';Blumenau';4202404';SC';89052385';Brasil';BRA';-26.9159991';-49.0713838';true';MOVEL;;55';47';988174875';;true';csouzam@cdcd.com.br'
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;3; 'Organização B'; 'Empresa B' ;22034751000161';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';79377783771';;;;NIF;;'935805173';;;;true';;;;;Juliana Freitas Almeida;;MAE;;Mariane Lavínia;;1969-02-24';VIUVO;;FEMININO;true';Rua Cinco, 968';Casa 1';Jardim Novo Milênio';Cuiabá';5103403';MT';78093713';Brasil';BRA';;;true';MOVEL;;55';65';998762567';;true';almeidafju@dinamicaconsultoria.com'
;;;;;;;;;;;CNH;;8669907253;;;2025-03-19';;;;;;;;PAI;;Nicolas Marcos da Mota;;;;;;;;;;;;;;;;;;'false';FIXO;;55;65;36932239;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;4; 'Organização B1'; 'Empresa B1' ;22735911000108';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';;60444378AVF;EUA;2024-04-31';;;;B;;45718;'false';USA';SOCIAL SECURITY NUMBER;T766323;44785;David Smith;;MAE;;Sandy Thomas';;1968-08-06';"SEPARADO_
JUDICIALMENTE";;MASCULINO;true';'197 Hollys, Avenue';;'St. Albans';'New York';;'NY';'19799197';'United States';'USA';;;true';MOVEL;;'1';'212';983628585';;true';lucinac@wizardararaquara.com.br'
;;;;;;;;;;;;;;;;;;;;;;;;PAI;;Samuel Smith;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;5; 'Organização C'; 'Empresa C' ;79424399000198';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';30874666546';;;;OUTROS;CARTEIRA DE TRABALHO;78303;;SERIE: 00024-SP;;true';;;;;José Gonçalves Batista;;PAI;;Lorenzo Geraldo Diego da Costa';;1992-03-07';DIVORCIADO;;MASCULINO;true';Beco Trinta e Três, 754';;Vila Garcia';Patos de Minas';3148004';MG';38703198';Brasil';BRA';;;true';FIXO;;55';34';39258055';;true';luanaalmeida@senioraereo.com.br'
;;;;;;;;;;;;;;;;;;;;;;;;MAE;;Jane Silva';;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;6; 'Organização C1'; 'Empresa C1' ;60030188000142';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';66052435950';;;;NIF;;231500025;;;;true';;;;;Lucas Reis Ribeiro;;MAE;;Simone Carolina';;1968-04-27';UNIAO_ESTAVEL;;MASCULINO;true';Rua Dom Aquino, 598';;Jardim Nova Era';Nova Iguaçu';3303500';RJ';26266090';Brasil';BRA';;;true';MOVEL;;55';21';998003464';;true';kauebenunes@msaengenharia.com.br'
;;;;;;;;;;;;;;;;;;;;;;;;PAI;;Silas Camargo;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
