;;;;Accounts;;;;;;;;;
Exemplo;brandName;companyCnpj;type;compeCode;branchCode;number;checkDigit;accountId;;;;;
1; 'Organização A';21128159000166';CONTA_DEPOSITO_A_VISTA;001';6272';94088392';4;92792126019929279212650822221989319252576';;;;;
;;;CONTA_POUPANCA;001';6272';26372384';8';"60266408090126026640833616786368109676465'
";;;;;
;;;CONTA_PAGAMENTO_PRE_PAGA;001';6272';45678904265876543210';9';87461192032128746119246910476531896531253';;;;;
;;;;;;;;;;;;;
2; 'Organização B';48367559000175';CONTA_DEPOSITO_A_VISTA;033';001';01162278';x';'37736815020323773681554178847302312895636';;;;;
 ;;;;;;;;;;;;;
3; 'Organização C';67823490000133';CONTA_POUPANCA;341';0050';26372384';8';92792126019929279212650822221989319252576';;;;;
;;;;;;;;;;;;;
4; 'Organização D';21128159000166';CONTA_POUPANCA;096';4';07844882';0';933456126019929279212650822221989319252576';;;;;
 ;;;;;;;;;;;;;
5; 'Organização E';08654387000121';CONTA_PAGAMENTO_PRE_PAGA;074';9'; 45678904265876543210';9';"334567408090126026640833616786368109676465'
";;;;;
 ;;;;;;;;;;;;;
6; 'Organização F';08654387000121';CONTA_DEPOSITO_A_VISTA;237';119';97360268';x';22567892032128746119246910476531896531253';;;;;
;;;;;;;;;;;;;
7; 'Organização F';06271464000167';CONTA_DEPOSITO_A_VISTA;036';005';56789033';0';"45678908090126026640833616786368109676465'
";;;;;
;;;CONTA_PAGAMENTO_PRE_PAGA;036';45';89765465432176543200';j';56784352032128746119246910476531896531253';;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
