;;data;;;;;;;;
; ;;;;;;;;Payment Method;
;Exemplo;creditcardAccountId;requestDateTime;name;productType;productAdditionalInfo;creditCardNetwork;"network
AdditionalInfo";"identification
Number";"isMultiple
CreditDebit"
;1;XXZTR3459087;2020-07-21T08:30:00Z';Cartão Universitário';CLASSIC_NACIONAL;;VISA;;4453;true
;;;;;;;;;4893;true
;;;;;;;;;;
;2;ASBCR22987345933;2020-07-21T08:30:00Z';Cartão Vantagens';OUTROS;OURO_INTERNACIONAL;VISA;;2236;false
;;;;;;;;;;
;3;TTDF9873459229;2020-07-21T08:30:00Z';Cartão Fit';GOLD;;MASTERCARD ;;9845;true
;;;;;;;;;;
;4;XBCS22678907;2020-07-21T08:30:00Z';Cartão Boas Compras';PLATINUM;;AMERICAN_EXPRESS;;1298;false
;;;;;;;;;;
;5;DDFGR5678343;2020-07-21T08:30:00Z';Cartão Cliente Mais';ELECTRON;;VISA;;3578;false
;;;;;;;;;;
;6;GFRE34598734;2020-07-21T08:30:00Z';Cartão Express';BLUEBOX;;HIPERCARD ;;6690;false'
;;;;;;;;;;
;7;AJKR55945933;2020-07-21T08:30:00Z';Cartão Pepita';PROFISSIONAL_LIBERAL;;MASTERCARD ;;2573;false
;;;;;;;;;;
;8;DFZZ29564321;2020-07-21T08:30:00Z';Cartão Champion';CORPORATIVO;;BANDEIRA_PROPRIA;;1145;false
;;;;;;;;;;
;9;YUGF56673456;2020-07-21T08:30:00Z';Cartão Boas Compras';MAESTRO_MASTERCARD_MAESTRO;;VISA;;3396;false
;;;;;;;;;;
;10;MNOR765342100;2020-07-21T08:30:00Z';Cartão Fit';EMPRESARIAL;;ELO ;;4789;false
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
